name,url,is_premium,from #player,to #player,duration (mins),complexity
azul,https://boardgamearena.com/gamepanel?game=azul,True,2,4,15,1
carcassonne,https://boardgamearena.com/gamepanel?game=carcassonne,True,2,5,19,1
splendor,https://boardgamearena.com/gamepanel?game=splendor,True,2,4,20,3
sevenwondersduel,https://boardgamearena.com/gamepanel?game=sevenwondersduel,True,2,2,12,3
agricola,https://boardgamearena.com/gamepanel?game=agricola,True,1,4,60,3
castlesofburgundy,https://boardgamearena.com/gamepanel?game=castlesofburgundy,False,2,4,43,3
gaiaproject,https://boardgamearena.com/gamepanel?game=gaiaproject,True,2,4,100,4
sechsnimmt,https://boardgamearena.com/gamepanel?game=sechsnimmt,False,2,10,19,1
kingoftokyo,https://boardgamearena.com/gamepanel?game=kingoftokyo,True,2,6,15,2
sevenwonders,https://boardgamearena.com/gamepanel?game=sevenwonders,True,3,7,8,3
cantstop,https://boardgamearena.com/gamepanel?game=cantstop,True,2,4,7,2
kingdomino,https://boardgamearena.com/gamepanel?game=kingdomino,True,2,4,13,1
hanabi,https://boardgamearena.com/gamepanel?game=hanabi,True,2,5,12,2
arnak,https://boardgamearena.com/gamepanel?game=arnak,False,2,4,48,3
terramystica,https://boardgamearena.com/gamepanel?game=terramystica,True,2,5,78,4
sevenwondersarchitects,https://boardgamearena.com/gamepanel?game=sevenwondersarchitects,False,2,7,10,1
potionexplosion,https://boardgamearena.com/gamepanel?game=potionexplosion,True,2,4,21,1
welcometo,https://boardgamearena.com/gamepanel?game=welcometo,True,1,12,16,2
raceforthegalaxy,https://boardgamearena.com/gamepanel?game=raceforthegalaxy,True,2,6,6,4
tapestry,https://boardgamearena.com/gamepanel?game=tapestry,False,2,5,79,3
railwaysoftheworld,https://boardgamearena.com/gamepanel?game=railwaysoftheworld,True,2,6,66,3
almadi,https://boardgamearena.com/gamepanel?game=almadi,False,2,5,26,3
troyesdice,https://boardgamearena.com/gamepanel?game=troyesdice,False,1,10,9,3
numberdrop,https://boardgamearena.com/gamepanel?game=numberdrop,False,1,6,21,3
deus,https://boardgamearena.com/gamepanel?game=deus,False,2,4,40,3
imhotep,https://boardgamearena.com/gamepanel?game=imhotep,True,2,4,25,2
zola,https://boardgamearena.com/gamepanel?game=zola,False,2,2,8,1
silo,https://boardgamearena.com/gamepanel?game=silo,False,2,2,5,0
clashofdecks,https://boardgamearena.com/gamepanel?game=clashofdecks,False,2,2,13,3
chocolatefactory,https://boardgamearena.com/gamepanel?game=chocolatefactory,False,1,4,44,3
similo,https://boardgamearena.com/gamepanel?game=similo,True,2,8,5,1
lostexplorers,https://boardgamearena.com/gamepanel?game=lostexplorers,False,2,4,41,3
thecrewdeepsea,https://boardgamearena.com/gamepanel?game=thecrewdeepsea,True,2,5,38,2
parks,https://boardgamearena.com/gamepanel?game=parks,True,2,5,69,2
nicodemus,https://boardgamearena.com/gamepanel?game=nicodemus,False,2,2,18,3
newfrontiers,https://boardgamearena.com/gamepanel?game=newfrontiers,True,2,5,32,3
onitama,https://boardgamearena.com/gamepanel?game=onitama,True,2,2,12,2
lama,https://boardgamearena.com/gamepanel?game=lama,True,2,6,9,1
insert,https://boardgamearena.com/gamepanel?game=insert,False,2,2,4,2
abandonallartichokes,https://boardgamearena.com/gamepanel?game=abandonallartichokes,False,2,4,4,2
zener,https://boardgamearena.com/gamepanel?game=zener,False,2,2,7,1
kingofthepitch,https://boardgamearena.com/gamepanel?game=kingofthepitch,False,2,5,18,2
ninetynineaddition,https://boardgamearena.com/gamepanel?game=ninetynineaddition,False,2,8,6,2
squadro,https://boardgamearena.com/gamepanel?game=squadro,False,2,2,8,1
escapefromthehiddencastle,https://boardgamearena.com/gamepanel?game=escapefromthehiddencastle,False,2,8,15,1
explorationwarzone,https://boardgamearena.com/gamepanel?game=explorationwarzone,False,2,3,5,2
krosmasterblast,https://boardgamearena.com/gamepanel?game=krosmasterblast,True,2,2,24,3
