name,url,from #player,to #player,duration (mins),complexity
azul,https://boardgamearena.com/gamepanel?game=azul,2,4,15,1
carcassonne,https://boardgamearena.com/gamepanel?game=carcassonne,2,5,19,1
splendor,https://boardgamearena.com/gamepanel?game=splendor,2,4,20,3
sevenwondersduel,https://boardgamearena.com/gamepanel?game=sevenwondersduel,2,2,12,3
agricola,https://boardgamearena.com/gamepanel?game=agricola,1,4,60,3
castlesofburgundy,https://boardgamearena.com/gamepanel?game=castlesofburgundy,2,4,43,3
gaiaproject,https://boardgamearena.com/gamepanel?game=gaiaproject,2,4,100,4
sechsnimmt,https://boardgamearena.com/gamepanel?game=sechsnimmt,2,10,19,1
kingoftokyo,https://boardgamearena.com/gamepanel?game=kingoftokyo,2,6,15,2
sevenwonders,https://boardgamearena.com/gamepanel?game=sevenwonders,3,7,8,3
cantstop,https://boardgamearena.com/gamepanel?game=cantstop,2,4,7,2
kingdomino,https://boardgamearena.com/gamepanel?game=kingdomino,2,4,13,1
hanabi,https://boardgamearena.com/gamepanel?game=hanabi,2,5,12,2
arnak,https://boardgamearena.com/gamepanel?game=arnak,2,4,48,3
terramystica,https://boardgamearena.com/gamepanel?game=terramystica,2,5,78,4
sevenwondersarchitects,https://boardgamearena.com/gamepanel?game=sevenwondersarchitects,2,7,10,1
potionexplosion,https://boardgamearena.com/gamepanel?game=potionexplosion,2,4,21,1
welcometo,https://boardgamearena.com/gamepanel?game=welcometo,1,12,16,2
raceforthegalaxy,https://boardgamearena.com/gamepanel?game=raceforthegalaxy,2,6,6,4
tapestry,https://boardgamearena.com/gamepanel?game=tapestry,2,5,79,3
railwaysoftheworld,https://boardgamearena.com/gamepanel?game=railwaysoftheworld,2,6,65,3
almadi,https://boardgamearena.com/gamepanel?game=almadi,2,5,26,3
troyesdice,https://boardgamearena.com/gamepanel?game=troyesdice,1,10,9,3
numberdrop,https://boardgamearena.com/gamepanel?game=numberdrop,1,6,21,3
deus,https://boardgamearena.com/gamepanel?game=deus,2,4,40,3
imhotep,https://boardgamearena.com/gamepanel?game=imhotep,2,4,25,2
zola,https://boardgamearena.com/gamepanel?game=zola,2,2,8,1
silo,https://boardgamearena.com/gamepanel?game=silo,2,2,5,0
clashofdecks,https://boardgamearena.com/gamepanel?game=clashofdecks,2,2,13,3
chocolatefactory,https://boardgamearena.com/gamepanel?game=chocolatefactory,1,4,45,3
similo,https://boardgamearena.com/gamepanel?game=similo,2,8,5,1
lostexplorers,https://boardgamearena.com/gamepanel?game=lostexplorers,2,4,41,3
thecrewdeepsea,https://boardgamearena.com/gamepanel?game=thecrewdeepsea,2,5,39,2
parks,https://boardgamearena.com/gamepanel?game=parks,2,5,69,2
nicodemus,https://boardgamearena.com/gamepanel?game=nicodemus,2,2,18,3
newfrontiers,https://boardgamearena.com/gamepanel?game=newfrontiers,2,5,32,3
onitama,https://boardgamearena.com/gamepanel?game=onitama,2,2,12,2
lama,https://boardgamearena.com/gamepanel?game=lama,2,6,9,1
insert,https://boardgamearena.com/gamepanel?game=insert,2,2,4,2
abandonallartichokes,https://boardgamearena.com/gamepanel?game=abandonallartichokes,2,4,4,2
zener,https://boardgamearena.com/gamepanel?game=zener,2,2,7,1
kingofthepitch,https://boardgamearena.com/gamepanel?game=kingofthepitch,2,5,18,2
ninetynineaddition,https://boardgamearena.com/gamepanel?game=ninetynineaddition,2,8,6,2
squadro,https://boardgamearena.com/gamepanel?game=squadro,2,2,8,1
escapefromthehiddencastle,https://boardgamearena.com/gamepanel?game=escapefromthehiddencastle,2,8,15,1
explorationwarzone,https://boardgamearena.com/gamepanel?game=explorationwarzone,2,3,5,2
krosmasterblast,https://boardgamearena.com/gamepanel?game=krosmasterblast,2,2,24,3
abalone,https://boardgamearena.com/gamepanel?game=abalone,2,2,20,1
rage,https://boardgamearena.com/gamepanel?game=rage,3,8,22,1
cardiceo,https://boardgamearena.com/gamepanel?game=cardiceo,2,6,3,2
one,https://boardgamearena.com/gamepanel?game=one,2,6,17,1
dicehospital,https://boardgamearena.com/gamepanel?game=dicehospital,2,4,32,2
dodo,https://boardgamearena.com/gamepanel?game=dodo,2,2,5,0
parisconnection,https://boardgamearena.com/gamepanel?game=parisconnection,3,6,21,2
steamworks,https://boardgamearena.com/gamepanel?game=steamworks,2,5,84,4
bids,https://boardgamearena.com/gamepanel?game=bids,3,6,24,2
herooj,https://boardgamearena.com/gamepanel?game=herooj,2,2,11,3
balloonpop,https://boardgamearena.com/gamepanel?game=balloonpop,1,10,6,1
phat,https://boardgamearena.com/gamepanel?game=phat,4,4,25,2
patchwork,https://boardgamearena.com/gamepanel?game=patchwork,2,2,15,3
mijnlieff,https://boardgamearena.com/gamepanel?game=mijnlieff,2,2,5,1
homesteaders,https://boardgamearena.com/gamepanel?game=homesteaders,2,4,59,3
pedro,https://boardgamearena.com/gamepanel?game=pedro,4,4,22,3
illustori,https://boardgamearena.com/gamepanel?game=illustori,3,8,31,1
grosstarock,https://boardgamearena.com/gamepanel?game=grosstarock,2,4,27,3
goldwest,https://boardgamearena.com/gamepanel?game=goldwest,2,4,41,3
monsterfactory,https://boardgamearena.com/gamepanel?game=monsterfactory,2,6,10,1
veronatwist,https://boardgamearena.com/gamepanel?game=veronatwist,2,2,12,2
blaze,https://boardgamearena.com/gamepanel?game=blaze,3,5,41,3
detectivepoker,https://boardgamearena.com/gamepanel?game=detectivepoker,3,4,30,2
onceuponaforest,https://boardgamearena.com/gamepanel?game=onceuponaforest,2,4,24,2
dinosaurteaparty,https://boardgamearena.com/gamepanel?game=dinosaurteaparty,3,5,16,1
yinyang,https://boardgamearena.com/gamepanel?game=yinyang,2,2,19,3
viticulture,https://boardgamearena.com/gamepanel?game=viticulture,1,6,46,3
murusgallicus,https://boardgamearena.com/gamepanel?game=murusgallicus,2,2,8,3
gonutsfordonuts,https://boardgamearena.com/gamepanel?game=gonutsfordonuts,2,6,9,1
biyi,https://boardgamearena.com/gamepanel?game=biyi,2,2,2,2
thatslife,https://boardgamearena.com/gamepanel?game=thatslife,2,6,14,1
trickoftherails,https://boardgamearena.com/gamepanel?game=trickoftherails,3,5,18,2
dicesummoners,https://boardgamearena.com/gamepanel?game=dicesummoners,2,2,27,2
automobiles,https://boardgamearena.com/gamepanel?game=automobiles,2,5,41,2
quinque,https://boardgamearena.com/gamepanel?game=quinque,2,2,7,1
mattock,https://boardgamearena.com/gamepanel?game=mattock,2,2,8,2
caravan,https://boardgamearena.com/gamepanel?game=caravan,2,4,33,2
bug,https://boardgamearena.com/gamepanel?game=bug,2,2,4,3
rolledwest,https://boardgamearena.com/gamepanel?game=rolledwest,2,4,14,1
fistfulofgold,https://boardgamearena.com/gamepanel?game=fistfulofgold,2,2,5,1
codexnaturalis,https://boardgamearena.com/gamepanel?game=codexnaturalis,2,4,15,2
emdomicrocosm,https://boardgamearena.com/gamepanel?game=emdomicrocosm,2,2,17,1
iwari,https://boardgamearena.com/gamepanel?game=iwari,2,5,33,2
meadow,https://boardgamearena.com/gamepanel?game=meadow,2,2,18,3
thirteenclues,https://boardgamearena.com/gamepanel?game=thirteenclues,2,6,11,2
solarstorm,https://boardgamearena.com/gamepanel?game=solarstorm,2,4,31,2
grandbazaar,https://boardgamearena.com/gamepanel?game=grandbazaar,2,7,31,0
fluxx,https://boardgamearena.com/gamepanel?game=fluxx,2,6,7,2
pingimus,https://boardgamearena.com/gamepanel?game=pingimus,3,12,23,0
hoarders,https://boardgamearena.com/gamepanel?game=hoarders,3,6,8,1
vultureculture,https://boardgamearena.com/gamepanel?game=vultureculture,2,5,4,1
herrlof,https://boardgamearena.com/gamepanel?game=herrlof,2,3,28,1
chinesecheckers,https://boardgamearena.com/gamepanel?game=chinesecheckers,2,6,19,1
handandfoot,https://boardgamearena.com/gamepanel?game=handandfoot,2,12,51,3
pandemic,https://boardgamearena.com/gamepanel?game=pandemic,1,4,22,2
sobektwoplayers,https://boardgamearena.com/gamepanel?game=sobektwoplayers,2,2,11,2
morocco,https://boardgamearena.com/gamepanel?game=morocco,2,5,30,3
themotherroad,https://boardgamearena.com/gamepanel?game=themotherroad,2,4,30,2
rainbow,https://boardgamearena.com/gamepanel?game=rainbow,2,2,30,1
scopa,https://boardgamearena.com/gamepanel?game=scopa,2,6,18,2
pyrgos,https://boardgamearena.com/gamepanel?game=pyrgos,2,2,6,2
zooloretto,https://boardgamearena.com/gamepanel?game=zooloretto,2,5,28,2
baolakiswahili,https://boardgamearena.com/gamepanel?game=baolakiswahili,2,2,13,5
volfyirion,https://boardgamearena.com/gamepanel?game=volfyirion,2,2,32,3
egocentricworld,https://boardgamearena.com/gamepanel?game=egocentricworld,2,6,18,1
tumbleweed,https://boardgamearena.com/gamepanel?game=tumbleweed,2,2,14,3
imtheboss,https://boardgamearena.com/gamepanel?game=imtheboss,3,6,33,2
samarkand,https://boardgamearena.com/gamepanel?game=samarkand,2,5,31,2
steamrollers,https://boardgamearena.com/gamepanel?game=steamrollers,1,5,16,2
epizodiak,https://boardgamearena.com/gamepanel?game=epizodiak,3,3,15,1
ladyandthetiger,https://boardgamearena.com/gamepanel?game=ladyandthetiger,2,2,8,1
thrive,https://boardgamearena.com/gamepanel?game=thrive,2,2,20,3
factum,https://boardgamearena.com/gamepanel?game=factum,4,12,42,1
mercadodelisboaste,https://boardgamearena.com/gamepanel?game=mercadodelisboaste,2,4,22,2
buyword,https://boardgamearena.com/gamepanel?game=buyword,1,4,18,2
cantstopexpress,https://boardgamearena.com/gamepanel?game=cantstopexpress,1,4,6,1
pente,https://boardgamearena.com/gamepanel?game=pente,2,4,5,1
pyramidpoker,https://boardgamearena.com/gamepanel?game=pyramidpoker,2,2,13,2
mascarade,https://boardgamearena.com/gamepanel?game=mascarade,4,12,20,2
ladyschoice,https://boardgamearena.com/gamepanel?game=ladyschoice,2,6,8,2
artdecko,https://boardgamearena.com/gamepanel?game=artdecko,2,4,36,2
ultimaterailroads,https://boardgamearena.com/gamepanel?game=ultimaterailroads,2,4,83,4
queenskings,https://boardgamearena.com/gamepanel?game=queenskings,2,4,23,3
starfluxx,https://boardgamearena.com/gamepanel?game=starfluxx,2,6,12,2
faifo,https://boardgamearena.com/gamepanel?game=faifo,3,5,16,1
bossquest,https://boardgamearena.com/gamepanel?game=bossquest,2,5,9,2
evl,https://boardgamearena.com/gamepanel?game=evl,2,2,11,2
cloudcity,https://boardgamearena.com/gamepanel?game=cloudcity,1,4,16,1
guile,https://boardgamearena.com/gamepanel?game=guile,2,2,11,1
simplicity,https://boardgamearena.com/gamepanel?game=simplicity,2,6,13,3
senshi,https://boardgamearena.com/gamepanel?game=senshi,2,4,13,3
forex,https://boardgamearena.com/gamepanel?game=forex,2,6,53,4
dicedtomatoes,https://boardgamearena.com/gamepanel?game=dicedtomatoes,1,6,19,2
canosa,https://boardgamearena.com/gamepanel?game=canosa,2,2,14,1
linkage,https://boardgamearena.com/gamepanel?game=linkage,2,2,6,1
bang,https://boardgamearena.com/gamepanel?game=bang,2,7,17,3
liverpoolrummy,https://boardgamearena.com/gamepanel?game=liverpoolrummy,2,16,38,2
uptown,https://boardgamearena.com/gamepanel?game=uptown,3,5,18,1
harbour,https://boardgamearena.com/gamepanel?game=harbour,1,4,33,2
sheepboombah,https://boardgamearena.com/gamepanel?game=sheepboombah,2,4,18,2
